year,consumer_spending_m,consumer_spending_growth_pct
2017 Q3,401714,
2017 Q4,403747,
2018 Q1,406073,
2018 Q2,404497,
2018 Q3,408017,
2018 Q4,412655,
2019 Q1,412090,
2019 Q2,413136,
2019 Q3,412951,
2019 Q4,412487,
2020 Q1,400748,
2020 Q2,308486,
2020 Q3,369291,
2020 Q4,362708,
2021 Q1,349378,
2021 Q2,389324,
2021 Q3,401314,
2021 Q4,402019,
2022 Q1,407981,
2022 Q2,415833,
2022 Q3,416076,
2022 Q4,417728,
2023 Q1,415180,
2023 Q2,416034,
2023 Q3,410873,
2023 Q4,410194,
2024 Q1,411441,
2024 Q2,411111,
2024 Q3,413697,
2024 Q4,414478,
2025 Q1,415543,
2025 Q2,415740,
2025 Q3,416050,
2025 Q4,416308,
